date;tkr;index;PE;EPSttm;insiderOwn;shsOutstand;perfWeek;marketCap;forwardPE;EPSnextY;insiderTrans;shsFloat;perfMonth;income;PEG;EPSnextQ;instOwn;shortFloat;perfQuarter;sales;PS;EPSthisY;instTrans;shortRatio;perfHalfY;bookSh;PB;EPSnextYprc;ROA;targetPrice;perfYear;cashSh;PC;EPSnext5Y;ROE;Range52W;perfYTD;div;PFCF;EPSpast5Y;ROI;High52W;beta;divPrc;quickRatio;salesPast5Y;grossMargin;low52W;ATR;emp;currentRatio;salesQQ;operMargin;RSI;volatility;optionable;debtEq;EPSQQ;profitMargin;relVolume;prevClose;shortable;LTdebtEq;earnings;payout;avgVolume;price;recom;SMA20;SMA50;SMA200;volume;change
20171224;LVNTA;null;6.73;8.63;0.1;2.68910016E8;2.36;1.56E10;0.0;-0.32;-93.11;0.0;0.22;7.69E8;0.0;-0.29;98.2;0.0;3.29;5.3E7;294.38;243.2;1.49;13.97;11.21;30.03;1.93;-104.4;11.6;70.46;53.21;0.0;0.0;0.0;34.2;36.58 - 62.41;57.36;0.0;79.6;114.6;-9.6;-7.03;1.43;0.0;0.6;0.0;60.4;58.61;1.32;0;0.6;-94.5;-86.8;56.9;2.4 2.4;Yes;0.73;-28.2;0.0;0.42;57.5;Yes;0.35;Nov 09 BMO;0.0;568760.0;58.02;1.8;2.57;2.2;5.94;237644;0.9
20171224;QVCA;null;23.63;1.11;0.3;6.1409005E8;5.48;1.608E10;17.85;1.47;0.0;4.73589984E8;4.97;5.09E8;8.15;0.49;99.9;5.07;8.54;1.01700004E10;1.58;-26.1;2.57;6.79;6.25;10.87;2.41;23.28;3.6;28.72;30.77;0.0;0.0;2.9;10.4;17.24 - 26.79;31.03;0.0;14.5;3.3;6.4;-2.28;1.34;0.0;0.8;1.2;34.9;51.86;0.61;21080;1.5;3.1;10.7;64.85;2.31 2.4;Yes;1.27;106.3;5.0;0.94;26.63;Yes;1.26;Nov 09 BMO;0.0;3540000.0;26.18;2.2;5.05;9.73;14.22;3334401;-1.69
20171224;CTAS;S&P 500;35.97;4.36;1.2;1.0575E8;-0.73;1.65900001E10;25.77;6.09;-0.22;9.054E7;6.44;4.717E8;2.76;1.26;69.1;4.61;14.6;5.64E9;2.94;3.8;1.55;6.77;21.12;24.27;6.46;13.57;9.9;146.78;30.61;2.01;77.87;13.03;24.3;112.96 - 161.0;35.73;1.62;27.49;12.9;10.0;-2.58;0.85;1.03;1.6;5.4;45.0;38.85;2.71;42000;1.8;27.2;14.5;53.64;2.41 1.72;Yes;1.11;16.9;9.8;3.5;159.65;Yes;0.99;Dec 21 AMC;25.4;616140.0;156.85;2.6;0.2;3.02;16.16;2157368;-1.75
20171224;WAT;S&P 500;28.57;6.78;2.9;7.849E7;-1.41;1.52100004E10;24.09;8.05;-5.74;7.593E7;-1.41;5.4790003E8;2.96;2.44;96.7;4.13;7.47;2.24999987E9;6.76;13.5;1.17;6.79;4.8;32.98;5.88;8.36;11.2;199.08;42.79;41.47;4.67;9.66;22.3;133.71 - 201.95;44.2;0.0;20.4;6.4;13.2;-4.04;0.83;0.0;5.7;3.2;58.8;44.93;3.1;6900;6.2;7.4;28.4;45.28;1.18 1.58;Yes;0.74;10.2;24.3;0.49;194.52;Yes;0.66;Jan 23 BMO;0.0;461670.0;193.79;2.3;-1.4;-0.34;7.47;227342;-0.38
20171224;DPS;S&P 500;24.1;3.99;0.33;1.814E8;2.34;1.744E10;19.82;4.85;-1.79;1.7995E8;11.25;7.33E8;3.49;1.16;95.4;3.57;9.3;6.6300001E9;2.63;14.3;0.5;4.99;3.44;11.74;8.19;7.42;7.3;96.11;6.2;0.36;264.18;6.91;34.0;83.23 - 99.47;6.01;2.32;31.53;10.6;14.6;-3.37;0.6;2.41;0.7;1.8;59.9;15.49;1.26;20000;0.9;3.6;19.1;74.9;1.22 1.46;Yes;2.1;-13.7;11.1;0.6;95.8;Yes;2.07;Jan 24 BMO;56.6;1290000.0;96.12;2.5;3.9;7.66;4.93;771975;0.33
20171224;LH;S&P 500;22.43;7.17;0.3;1.022E8;1.04;1.64300001E10;15.65;10.27;-42.52;1.022E8;5.8;7.458E8;2.42;2.38;95.6;2.71;6.92;1.00699996E10;1.63;61.4;-1.46;4.11;5.53;59.94;2.68;7.78;4.9;173.53;26.73;4.0;40.13;9.26;12.9;126.44 - 165.18;25.19;0.0;12.96;6.6;8.3;-2.7;0.88;0.0;1.7;11.7;33.1;27.11;2.69;52000;1.9;10.0;13.2;60.99;1.53 1.81;Yes;1.18;1.8;7.4;0.44;161.38;Yes;1.18;Jan 24 BMO;0.0;673520.0;160.72;2.2;2.42;4.61;7.36;297570;-0.41
20171224;SNN;null;17.81;1.96;0.6;4.3464E8;0.2;1.51500001E10;18.25;1.91;0.0;4.3352E8;-2.63;8.67E8;3.36;0.0;6.5;0.22;-2.9;4.68E9;3.24;92.5;1.65;1.52;-0.94;9.59;3.63;8.03;0.0;40.58;16.99;0.0;0.0;5.3;0.0;29.73 - 40.43;15.86;0.62;0.0;6.4;15.1;-13.8;0.71;1.78;0.0;1.8;73.4;17.22;0.37;15000;0.0;2.9;0.0;35.21;0.81 0.84;Yes;0.0;34.4;0.0;0.61;34.62;Yes;0.0;null;0.0;622740.0;34.85;1.5;-1.8;-4.39;-0.23;382718;0.66
20171224;XRAY;S&P 500;0.0;-3.48;0.7;2.295E8;-0.99;1.51099996E10;22.53;2.92;7.93;2.2801E8;-2.62;-7.926E8;0.0;0.82;99.7;3.78;11.26;3.9E9;3.87;10.1;2.98;4.49;2.73;32.58;2.02;9.89;-7.0;71.92;11.31;1.62;40.54;7.0;-10.2;52.53 - 68.98;14.01;0.35;29.47;2.6;4.6;-4.58;1.32;0.53;1.6;8.1;54.8;25.29;1.01;15700;2.3;5.8;-18.5;52.75;1.26 1.43;Yes;0.22;-0.7;-20.3;0.31;65.5;Yes;0.21;Nov 03 BMO;0.0;1920000.0;65.82;2.0;-0.68;2.32;6.09;600335;0.49
20171224;VRSK;S&P 500;35.2;2.71;0.8;1.6422E8;0.35;1.56600003E10;27.39;3.48;-16.83;1.5443E8;1.61;4.58E8;3.41;0.78;95.8;2.88;16.21;2.07999987E9;7.52;-8.9;-0.16;5.26;14.61;10.16;9.38;9.54;9.2;96.61;16.16;0.89;107.45;10.32;31.4;75.6 - 98.6;17.44;0.0;31.14;11.7;15.2;-3.32;0.81;0.0;0.5;10.9;63.1;26.1;1.25;6148;0.5;10.2;37.3;61.24;1.19 1.32;Yes;1.72;-3.2;22.1;0.78;95.58;Yes;1.36;Jan 30 AMC;0.0;844610.0;95.33;2.4;0.0;4.66;13.31;656660;-0.26
20171224;FDC;null;21.98;0.76;3.3;9.1114003E8;0.85;1.51400008E10;10.76;1.54;0.47;4.64290016E8;-0.6;7.09E8;2.17;0.44;96.4;5.09;-7.77;1.18500004E10;1.28;105.9;11.78;3.66;-11.17;2.29;7.26;1.85;1.9;20.91;14.46;0.55;30.17;10.15;44.9;14.02 - 19.23;17.12;0.0;8.52;22.7;7.4;-13.57;0.0;0.0;0.0;1.6;44.7;18.54;0.4;24000;1.0;4.8;13.6;47.75;2.55 2.53;Yes;8.89;119.2;6.0;0.79;16.42;Yes;8.48;Jan 29 BMO;0.0;6450000.0;16.62;1.9;1.26;-2.91;-3.71;5088095;1.22
